"label","birth place","Geburtsdatum","Geburtsort"
"Chris Dangerfield (comedian)","Dartford, Kent, England","1972-05-06","http://dbpedia.org/resource/Dartford"
"David Huntsberger","http://dbpedia.org/resource/Nevada","","http://dbpedia.org/resource/Nevada"
"Jessimae Peluso","http://dbpedia.org/resource/United_States","","http://dbpedia.org/resource/United_States"
"Nore Davis","","","http://dbpedia.org/resource/New_York"
"Reese Waters","http://dbpedia.org/resource/Prince_George's_County,_Maryland","","http://dbpedia.org/resource/Prince_George's_County,_Maryland"
"Vince Duverge","","1995-01-15",""
"Without a Box","","",""
"Amritpal Chotu","http://dbpedia.org/resource/Punjab,_India","","http://dbpedia.org/resource/Punjab,_India"
"Benji Lovitt","Dallas, Texas","",""
"Chris Cubas","http://dbpedia.org/resource/New_York","","http://dbpedia.org/resource/New_York"
"Dax Jordan","","","http://dbpedia.org/resource/California"
"Gotzon Mantuliz","","","http://dbpedia.org/resource/Biscay"
"Joke Singh","","","http://dbpedia.org/resource/Gujarat"
"Max Silvestri","","1983",""
"Tom & Olly","","",""
"Tom Parry (comedian)","","",""
"Vinnie Brand","Middletown, New Jersey, U.S.","1963-07-06","http://dbpedia.org/resource/Middletown_Township,_New_Jersey"
"Reno (comedian)","http://dbpedia.org/resource/United_States","","http://dbpedia.org/resource/United_States"
"Ria Lina","http://dbpedia.org/resource/England","","http://dbpedia.org/resource/England"
"Ryan Rems","http://dbpedia.org/resource/Quezon_City","","http://dbpedia.org/resource/Quezon_City"
