"Geburtsort","label","Geburtsdatum","birth place"
"http://dbpedia.org/resource/Cuttack","Mohammad Ashraf","1995-10-29","Cuttack, Odisha"
"","Anne Haast","1993-07-01",""
"","Arthur Ssegwanyi","1988-03-12",""
"","Aryan Tari","1999-06-04",""
"","Qiyu Zhou","",""
"","Abu Sufian Shakil","",""
"","Jeffery Xiong","2000-10-30",""
"","Mahmood Lodhi","",""
"","Roman Chytilek","1976-02-24",""
"http://dbpedia.org/resource/Haedo,_Buenos_Aires_Province","Sandro Mareco","1987-05-13","Haedo, Buenos Aires Province, Argentina"
"http://dbpedia.org/resource/Minsk","Sjarhej Schyhalka","",""
"","Zillur Rahman Champak","",""
"","Bobby Fischer","",""
"","Elena Donaldson-Akhmilovskaya","",""
"","Francisco Vallejo Pons","",""
"","José Raúl Capablanca","",""
"","Julian Hodgson","",""
"","Mateusz Bartel","",""
"","Mir Sultan Khan","",""
"","Paolo Boi","",""
