"Wikipage page ID","Wikipage revision ID","label","Link from a Wikipage to an external page"
"47701147","683295810","A.C. Doukas Basketball","http://www.doukasbasketball.com/"
"47920466","","A.E. Farkadona F.C.",""
"46817861","683643782","A.F.C. Stoneham",""
"","","Конструкторское бюро химического машиностроения имени А. М. Исаева",""
"47871921","683563526","A4 Bath Road park and ride (Bristol)","http://travelwest.info/park-ride"
"46398280","664446033","ABC Fine Wine & Spirits","http://www.abcfws.com/"
"46380382","683625073","ABS-CBNnews.com","http://www.abs-cbnnews.com/"
"","","ACE College of Engineering, Trivandrum",""
"46950419","680552692","AC London F.C.",""
"46984814","675252837","AFAAS AFRICA","http://www.afaas-africa.org/"
"46487106","660250153","AG Insurance","http://www.aginsurance.be/"
"","","AK 47 Mayanja",""
"46755181","677582114","AMATA Corporation PCL","http://amata.com/site/index.php"
"46267829","","AMVJ (basketbal)",""
"48010185","683891216","APEKS-BANK","http://www.apeksbank.com.ua"
"46817561","680553053","APM Contrast F.C.",""
"","","AR-Ab",""
"45678697","680236740","ARAMCCO in Germany","http://www.aramccogermany.com/"
"46614354","","ARC Ratings",""
"46242633","654185450","ASCON","http://ascon.net/"
