"birth place","label","Geburtsort","Geburtsdatum"
"Valencia, Spain","Rafael Jiménez Jarque","http://dbpedia.org/resource/Valencia","1993-08-12"
"","Ren Guixin","http://dbpedia.org/resource/Inner_Mongolia",""
"Rosário do Sul, Brazil","Ricardo Dias Acosta","http://dbpedia.org/resource/Rosário_do_Sul","1985-12-15"
"","Помазан, Роман Максимович","http://dbpedia.org/resource/Berdiansk",""
"","Стефурак, Роман Романович","http://dbpedia.org/resource/Ukraine",""
"http://dbpedia.org/resource/Donetsk","Rostyslav Bahdasarov","http://dbpedia.org/resource/Donetsk",""
"Velp, Netherlands","Roy Talsma","http://dbpedia.org/resource/Velp,_Gelderland","1994-08-31"
"Itapeva, Brazil","Ruy Franco de Almeida Junior","http://dbpedia.org/resource/Itapeva,_São_Paulo","1989-01-26"
"http://dbpedia.org/resource/England","Samuel Somerville","http://dbpedia.org/resource/England",""
"Valencia, Spain","Sergio Abad Beyxer","http://dbpedia.org/resource/Valencia","1989-03-01"
"","Кулинич, Сергей Викторович","http://dbpedia.org/resource/Mala_Tokmachka",""
"","Шаповал, Сергей Владимирович","http://dbpedia.org/resource/Kiev_Oblast",""
"","Загинайлов, Сергей Геннадьевич","http://dbpedia.org/resource/Kiev_Oblast",""
"Manacor, Spain","Tomeu Nadal","http://dbpedia.org/resource/Manacor","1989-02-08"
"Valencia, Spain","Carlos Carbonell Gil","http://dbpedia.org/resource/Valencia","1989-04-16"
"http://dbpedia.org/resource/Stakhanov,_Luhansk_Oblast","Кучеров, Валерий Владимирович","http://dbpedia.org/resource/Stakhanov,_Luhansk_Oblast",""
"http://dbpedia.org/resource/Ukraine","Vasyl Shtander","http://dbpedia.org/resource/Ukraine",""
"Conceição do Araguaia, Brazil","Victor Oliveira","http://dbpedia.org/resource/Conceição_do_Araguaia","1994-05-28"
"Curitiba, Brazil","Vinícius Goes Barbosa de Souza","http://dbpedia.org/resource/Curitiba","1991-04-15"
"","Vitaliy Koltsov","http://dbpedia.org/resource/Moyivka",""
