"label","Wikipage page ID"
"Codru (wine)","17470774"
"Niederlausitz (wine region)",""
"Nistreana (wine)","17470817"
"Arkansas wine","14456674"
"Oklahoma wine","14455778"
"Saddle Rock-Malibu AVA",""
"Yakima Valley AVA",""
"Balti (wine)","17470741"
"Idaho wine","12040291"
"Kansas wine",""
"Marcillac (Weinbaugebiet)","26601132"
"Mount Veeder AVA",""
"Rioja (wine)",""
"Isle St. George AVA",""
"Naches Heights AVA",""
"Arkansas Mountain AVA",""
"Catoctin AVA",""
"Clairette de Die AOC",""
"Fiddletown AVA",""
"Henty (wine)","47477562"
