"label","Wikipage page ID","Wikipage revision ID","color"
"Pione (grape)","47914994","682777864","Purple"
"Agawam (grape)","","",""
"Albillo Real","","",""
"Auxerrois","11797791","662463716",""
"Bouvier (Rebsorte)","","",""
"Burger (grape)","","",""
"Băbească Neagră","25997764","682094248",""
"قرفة حقيقية","28244497","679198859",""
"Cinsaut","","",""
"Diamond (Rebsorte)","36441559","546378423",""
"Frontenac (grape)","","",""
"Bordô (casta de uva)","39169672","667562328",""
"Melon","169720","683548280",""
"Melon de Bourgogne","","",""
"Nero d'Avola","","",""
"Niagara (grape)","","",""
"Pedro Ximénez","","",""
"Frühburgunder","","",""
"Rosette (Rebsorte)","","",""
"Trebbiano","","",""
