"label","Wikipage page ID","Wikipage revision ID"
"2093年1月27日日食","25416600","659434309"
"2057年7月1日日食","25465563","659434452"
"Éclipse solaire du 22 juillet 2028","25260843","659434648"
"Éclipse solaire du 25 novembre 2049","25356574","659436310"
"2040年11月4日日食","25356095","655092176"
"1927年12月24日日食","25592689","659433528"
"Sonnenfinsternis vom 30. Juni 1992","25260812","659435274"
"2072年3月19日日食","25495851","659435396"
"2054年3月9日日食","25465010","655091583"
"2029年6月12日日食","25287038","672742596"
"2041年10月25日日食","25356104","659436665"
"1986年4月9日日食","25355109","659433327"
"Sonnenfinsternis vom 21. Juni 2039","25333357","659435125"
"2050年11月14日日食","25356297","659436160"
"1939年4月19日日食","25581865","659433057"
"2082年8月24日日食","25517362","663212615"
"Sonnenfinsternis vom 14. Dezember 2020","25235468","663212837"
"2091年2月18日日食","25522880","655087822"
"Solar eclipse of January 17, 101","40360552","659434172"
"1908年6月28日日食","25579791","659435199"
