"Wikipage revision ID","Wikipage page ID","Link from a Wikipage to an external page","label","manager"
"679275609","47710243","http://www.majidalfuttaim.com/en/news/majid-al-futtaim-holding/media-centre/media-releases/majid-al-futtaim-reveals-city-centre-meaisem.html","City Center Me'aisem","http://dbpedia.org/resource/Majid_Al_Futtaim_Group"
"","47089312","","Desert Fashion Plaza",""
"","","","Bay Park Square",""
"","","","Bayfair Center",""
"","","","Beaver Valley Mall",""
"","","","Berkshire Mall (Pennsylvania)",""
"","","","Biltmore Fashion Park",""
"","","","Brookfield Square",""
"","","","Avalon Mall",""
"","","","CambridgeSide Galleria",""
"","","","Cape Cod Mall",""
"","","","Capital City Mall",""
"","","","Centerpointe Mall",""
"","","","Bay City Mall",""
"","","","Cielo Vista Mall",""
"","","","Berjaya Times Square",""
"","","","Colonial Park Mall",""
"","","","Colorado Mills",""
"","","","Columbia Mall (Grand Forks)",""
"","","","Briarwood Mall",""
