"Wikipage page ID","Wikipage revision ID","label"
"11391864","551598452","Idiocranium russeli"
"12357770","615598602","Arthroleptis vercammeni"
"12373831","678902646","Nyctimystes papua"
"12400481","674945244","Odontobatrachus natator"
"12390382","544876750","Physalaemus cuvieri"
"12375590","544873536","Plectrohyla chrysopleura"
"12411198","600284768","Pseudophilautus eximius"
"12376035","544873608","Scinax maracaya"
"","","Xenorhina adisca"
"12402497","559430428","Bolitoglossa vallecula"
"1343515","680386829","Sword-tail newt"
"5915045","","Barred tiger salamander"
"12381666","614282143","Afrixalus leucostictus"
"12357680","615594485","Arthroleptis crusculum"
"12357879","544872510","Astylosternus laurenti"
"46420807","671899852","Triturus ivanbureschi"
"12397171","559592580","Boophis sambirano"
"12375722","544961122","Pseudacris brimleyi"
"12381623","614684012","Afrixalus dorsalis"
"","","Choerophryne proboscidea"
