"Wikipage revision ID","label","Wikipage page ID"
"676880123","Laubuca lankensis","47571666"
"676881799","Chela laubuca","47571747"
"676882787","Laubuca ruhuna","47571805"
"676883819","Laubuca varuna","47571843"
"680510488","Liza alata","47775258"
"681956724","Lutjanus monostigma","47881477"
"682467743","Lythrurus roseipinnis","47866082"
"679616453","Macrouroididae","47728490"
"677333913","Maskaheros","47579605"
"677049461","Mesoheros","47580468"
"676730066","Microancathus","47563188"
"669004674","Myripristis kochiensis","47099073"
"669005057","Myripristis kuntee","47099122"
"669004454","Rode soldatenvis","47099056"
"669006132","Myripristis violacea","47099214"
"680866067","Narrowhead catshark","47777155"
"669007158","Gelbgestreifter Husar","47099319"
"669006703","Neoniphon opercularis","47099270"
"669006850","Neoniphon sammara","47099293"
"669131299","Oedalechilus labeo","47100278"
