"label","Wikipage page ID","Wikipage revision ID"
"Amblygaster clupeoides","47225672","671211669"
"Amblygaster leiogaster","47225737","671212172"
"Amblygaster sirm","47225891",""
"Amblymora australica","47165204","670788357"
"Amblymora baloghi","47165158","670788946"
"Amblymora bivittata","47165134","670789060"
"Amblymora carinipennis","47165159","670789177"
"Amblymora conferta","47165118","670789302"
"Amblymora consputa","47165121","670789422"
"Amblymora elongata","47165161","670789541"
"Amblymora excavata","47165135","670789649"
"Amblymora fergussoni","47165162","670789784"
"Amblymora fumosa","47165122","670789859"
"Amblymora gebeensis","47165163","672425166"
"Amblymora instabilis","47165123","672425386"
"Amblymora keyana","47165176","672425634"
"Amblymora marmorata","47165136","672425854"
"Amblymora multiguttata","47165205","672426108"
"Amblymora obiensis","47165177","672426325"
"Amblymora papuana","47165137","672426637"
