"Wikipage revision ID","Link from a Wikipage to an external page","label","Wikipage page ID"
"647327931","http://charmeck.org/mecklenburg/county/ParkandRec/Parks/ParksByRegion/SouthRegion/Pages/Idlewild.aspx","Idlewild Road Park (Charlotte, North Carolina)","45345199"
"676954267","http://www.aberdeenwa.gov/parks-recreation/parks-homepage/","Kurt Cobain Memorial Park","47565732"
"658947353","http://www.giardinodellaminerva.it/introduzione.html","Giardino della Minerva","45618982"
"679514496","http://www.arrangoeriaarhus.dk/da/Vaelg-sted/Parker-og-groenne-omraader/Moelleparken.aspx","Mølleparken","47599584"
"678697321","http://www.city.tome.miyagi.jp/hurusatolib/aruki/hasama/hasama02.html","長沼フートピア公園","47200617"
"670735266","http://www.parconaturaviva.it/index.php?changelan=2&idp=2","Parco Natura Viva","45491951"
"648931848","http://www.parcosafari.it/","Parco Safari delle Langhe","45514194"
"675762010","http://www.preaknessvalleygolf.com/","Preakness Valley","47428956"
"679949458","http://rattrayparkkumasi.com/","Rattray Park","47111940"
"678698791","http://www.passaiccountynj.org/index.aspx?NID=251","San Cap Park","47429049"
"677414430","http://www.visitaarhus.dk/danmark/skanseparken-gdk7846472","Skanseparken","47599338"
"675468710","http://www.passaiccountynj.org/Facilities/Facility/Details/33","Tranquility Ridge Park","47429359"
"661932484","https://www.zoodipistoia.it/","Giardino zoologico di Pistoia","45514159"
"680353354","","Ab-o-Atash Park","47287368"
"683464145","","Balfour Street Park","47444149"
"682288168","http://jessicasvannel.se/wp-content/uploads/2014/08/V%C3%A5rdprogram-f%C3%B6r-Brucebo_12juni14_JessicaSv%C3%A4nnel.pdf","Naturschutzgebiet Brucebo","47458181"
"678245405","","Keehner Park","47544197"
"677060738","http://www.airfields-freeman.com/WA/Airfields_WA_Seattle.htm#martha","Martha Lake Airport Park","47536308"
"679261542","","Peckman Preserve","47421106"
"679263315","","Pompton Aquatic Park","47421558"
