"birth place","label","Geburtsort"
"Tashkent, Uzbekistan","Temur Ismailov","http://dbpedia.org/resource/Tashkent"
"Roosendaal, Netherlands","Tim van Rijthoven","http://dbpedia.org/resource/Roosendaal"
"Trondheim, Norway","Viktor Durasovic","http://dbpedia.org/resource/Trondheim"
"Košice, Slovakia","Viktória Kužmová","http://dbpedia.org/resource/Košice"
"Bangkok, Thailand","Warit Sornbutnark","http://dbpedia.org/resource/Thailand_Davis_Cup_team"
"","Xun Fangying",""
"China","Zhang Zhizhen",""
"","Aiko Nakamura",""
"","Anders Järryd",""
"","Beals Wright",""
"São Paulo, Brazil","Beatriz Haddad Maia","http://dbpedia.org/resource/Brazil_Fed_Cup_team"
"Flawil, Switzerland","Belinda Bencic","http://dbpedia.org/resource/Flawil"
"","Belinda Cordwell",""
"Vienna, Austria","Bernhard Pils","http://dbpedia.org/resource/Vienna"
"","Bob Lutz (tennis)",""
"","Chuck McKinley",""
"","Coco Vandeweghe",""
"","Cristina Torrens Valero",""
"","David Martin (Tennisspieler)",""
"","Fabiola Zuluaga",""
