"Link from a Wikipage to an external page","Wikipage page ID","label","Wikipage revision ID"
"http://www.iucnredlist.org","12402056","Bolitoglossa nigrescens","549126594"
"http://www.iucnredlist.org","12358940","Incilius leucomyos","651185442"
"http://www.iucnredlist.org","12383862","Craugastor bransfordii","557452861"
"http://www.iucnredlist.org","12372053","Dendropsophus bipunctatus","544873243"
"http://www.iucnredlist.org","12387533","Eleutherodactylus pallidus","672491171"
"http://www.iucnredlist.org","12176672","Lyciasalamandra fazilae","545326117"
"http://www.iucnredlist.org","12381887","Hyperolius ademetzi","544875229"
"","12359301","Incilius tutelarius","594167687"
"","12383297","Ichthyophis kohtaoensis",""
"","24936601","ضفدع كوري بني","639958057"
"","","Micropholis (amphibian)",""
"","","Nyctixalus moloch",""
"","","Oreophryne geminus",""
"","","Orthophyia",""
"http://www.iucnredlist.org","12382688","Leptopelis palmatus","618039307"
"","","Phrynobatrachus pakenhami",""
"http://www.iucnredlist.org","12374044","Phyllodytes wuchereri","549153841"
"http://www.iucnredlist.org","12390442","Physalaemus maximus","544876948"
"http://www.iucnredlist.org","12404088","Pseudoeurycea conanti","541494251"
"http://www.iucnredlist.org","12382581","Leptopelis bufonides","618038858"
