"birth place","label","Geburtsort"
"http://dbpedia.org/resource/Geneva","Guillaume Barazzone","http://dbpedia.org/resource/Geneva"
"Paldhi, Jalgaon","Gulab Raghunath Patil",""
"http://dbpedia.org/resource/Lahti","Hanna Mäntylä","http://dbpedia.org/resource/Lahti"
"","Herma Hill Kay",""
"http://dbpedia.org/resource/Hungary","István Simicskó","http://dbpedia.org/resource/Hungary"
"http://dbpedia.org/resource/Quebec","Michel Doyon","http://dbpedia.org/resource/Quebec"
"http://dbpedia.org/resource/Eureka,_Kansas","Jacqueline Vietti","http://dbpedia.org/resource/Eureka,_Kansas"
"http://dbpedia.org/resource/Campinas","Jair Bolsonaro","http://dbpedia.org/resource/Campinas"
"Independence County, Arkansas, USA","James Sturch","http://dbpedia.org/resource/Arkansas"
"http://dbpedia.org/resource/Pennsylvania","Jan H. Gardner","http://dbpedia.org/resource/Pennsylvania"
"http://dbpedia.org/resource/Mladá_Boleslav","Jan Hamáček","http://dbpedia.org/resource/Mladá_Boleslav"
"http://dbpedia.org/resource/Michigan","Janeé Ayers","http://dbpedia.org/resource/Michigan"
"Detroit, Michigan, United States","Jenean Hampton","http://dbpedia.org/resource/Michigan"
"http://dbpedia.org/resource/United_States","Jessica Fitzwater","http://dbpedia.org/resource/United_States"
"http://dbpedia.org/resource/Bay_Shore,_New_York","Jim Nash (politician)","http://dbpedia.org/resource/Bay_Shore,_New_York"
"Montreal, Quebec","Jim Stevenson (Canadian politician)",""
"","Joe Magliocca",""
"Place of birth missing","John Cyrier",""
"http://dbpedia.org/resource/Ohio","John Douglas Simon","http://dbpedia.org/resource/Ohio"
"","Jolly Stanesby",""
