"label","Wikipage page ID","Wikipage revision ID","Link from a Wikipage to an external page"
"Idrettsklubben Start 2015","46487414","683608945","http://menigheden.no"
"2015 Knattspyrnufélag Reykjavíkur season","46346183","683491446","http://www.kr.is"
"2015 LA Galaxy II season","46183915","683696945","http://realmonarchs.com/news/recap/2015/03/real-monarchs-open-inaugural-season-with-a-draw/"
"Odds Ballklubb 2015","46427582","683607805","http://www.oddrane.no"
"2015 Portland Thorns FC season","46356780","683012860","http://www.portlandthornsfc.com/"
"2015 Sky Blue FC season","46466906","683012972","http://skybluefc.com"
"2015 Toronto FC II season","46180017","682710804","http://www.tfc2.ca/"
"2015 Valur season","46563688","683535545","http://www.valur.is"
"2015 Washington Spirit season","46477506","683013053","http://washingtonspirit.com"
"2015 Western New York Flash season","46451063","683013136","http://wnyflash.com"
"Saison 2015-2016 de l'Atlético Madrid","46835595","683757033","http://en.clubatleticodemadrid.com/"
"2015–16 Bangor City F.C. season","46654958","683928034","http://www.pitchero.com/clubs/bangorcityfc"
"2015–16 Brisbane Roar FC season","46401039","683528714","http://www.brisbaneroar.com.au/"
"2015–16 C.D. Motagua season","46830827","683452283","http://www.motagua.com/"
"2015–16 Central Coast Mariners FC season","46500475","682870097","http://www.ccmariners.com.au/"
"2015–16 Coventry City F.C. season","46613507","683948429","http://www.soccerbase.com/results2.sd?teamid=621"
"2015–16 Eintracht Braunschweig season","46833825","682435797","http://www.eintracht.com/"
"2015–16 Eintracht Frankfurt season","46778561","683950320","http://www.eintracht.de/english/news/"
"2015–16 FC Anzhi Makhachkala season","46940187","683600834","http://fananji.com/"
"Saison 2015-2016 du FC Barcelone","46735387","683982468","http://www.fcbarcelona.com/en"
