"Wikipage page ID","Wikipage revision ID","label"
"45683694","677436096","3A"
"46645205","","3WAY FM"
"47350747","682197550","3 Sport TV"
"46443401","669956139","3rd Lagos State House of Assembly"
"47959457","683269728","411 Locals"
"46950069","667370203","4 Pines Brewing Company"
"46443022","657146787","4th Lagos State House of Assembly"
"46442856","657146793","5th Lagos State House of Assembly"
"","","5th National Assembly"
"46440882","657146796","6th Lagos State House of Assembly"
"","","6th National Assembly"
"46221507","656908324","7 Sons of Soul"
"46439986","657005717","7th Lagos State House of Assembly"
"","","7th National Assembly"
"46924215","679778201","808 Audio"
"46945158","","8th National Assembly"
"","","92 News"
"47701147","683295810","A.C. Doukas Basketball"
"47920466","","A.E. Farkadona F.C."
"46817861","683643782","A.F.C. Stoneham"
