"label","Geburtsort"
"呉慷仁","http://dbpedia.org/resource/Kaohsiung"
"木村珠莉","http://dbpedia.org/resource/Fukuoka_Prefecture"
"田澤茉純","http://dbpedia.org/resource/Kanagawa_Prefecture"
"陳嘉佳","http://dbpedia.org/resource/Shanghai"
"井澤美香子",""
"高田里穂","http://dbpedia.org/resource/Fukuoka_Prefecture"
"Shane Diesel",""
"Tadao Takashima","http://dbpedia.org/resource/Kobe"
"楊崢","http://dbpedia.org/resource/Hong_Kong"
"Will Ryder",""
"Bruno Salomone",""
"Connie Emerald",""
"Flora Morris",""
"Harry Gilbey",""
"Harry Royston",""
"Hill Carrow",""
"Jacqueline Duc","http://dbpedia.org/resource/Paris"
"Juliusz Wyrzykowski",""
"Jörgen Düberg",""
"田中真奈美","http://dbpedia.org/resource/Hiroshima_Prefecture"
