"label","birth place"
"B. J. McLeod","http://dbpedia.org/resource/Florida"
"Christopher Bell (racing driver)","http://dbpedia.org/resource/Oklahoma"
"Ray Black, Jr.","Montgomery, Alabama"
"Dylan Lupton",""
"Cole Pearn","http://dbpedia.org/resource/Ontario"
"Donald Chisholm (racing driver)","http://dbpedia.org/resource/Antigonish,_Nova_Scotia"
"John Flemming (racing driver)","http://dbpedia.org/resource/Halifax,_Nova_Scotia"
"Rollie MacDonald","http://dbpedia.org/resource/Pictou"
"Alex Tagliani",""
"Brent Raymer",""
"Brett Butler (racing driver)",""
"Burney Lamar",""
"Cale Conley",""
"Coo Coo Marlin",""
"Doc Faustina",""
"Gary Bettenhausen",""
"Jack Smith (racing driver)",""
"John Paul, Jr. (racing driver)",""
"Rusty Wallace",""
"Ryan Newman",""
