"label","Wikipage revision ID","location","Wikipage page ID","image caption","type"
"Abeokuta flyover","678730976","http://dbpedia.org/resource/Abeokuta","47608715","The First Pedestrian Bridge in Ogun State","http://dbpedia.org/resource/Overpass"
"Los Alamitos Circle","","","","",""
"Kellogg Interchange","","","","",""
"Tropicana – Las Vegas Boulevard intersection","","","","",""
"银行交叉口","","","","",""
"Mousetrap (Denver)","","","","",""
"Columbus Circle (Washington, D.C.)","","","","",""
"Ngauranga Interchange","","","","",""
"","","","","",""
"","","","","",""
"Kwame Nkrumah Interchange","675624547","","40910589","",""
"Bosiljevo 2 interchange","653675291","","29169595","",""
"Peace Circle","","","","",""
"Orehovica interchange","","","","",""
"Brielle Circle","","","","",""
"Eatontown Circle","","","","",""
"Asokwa Interchange","","","","",""
"Indira Gandhi Chowk","654467636","","40788750","",""
"Échangeur circulaire (Chicago)","","","12643088","",""
"Spaghetti Bowl (Las Vegas)","","","","",""
