"Link from a Wikipage to an external page","image caption","label","Wikipage page ID","decay date","entered service","Wikipage revision ID"
"http://www.aer.ita.br/~aesp14/","An 1U cubesat similar to the AESP-14 satellite.","AESP-14","46740068","2015-05-11","--02-05","681436111"
"http://sservi.nasa.gov/articles/lunar-flashlight/","","Lunar Flashlight","46784364","","","664726183"
"http://mbrsc.ae/en/page/mars-probe","","Mars Hope","46635411","","","680689990"
"http://odinus.iaps.inaf.it/","","Origins, Dynamics, and Interiors of the Neptunian and Uranian Systems","47681779","","","679836701"
"http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=20026;orb=1;cov=0#orb","","(20026) 1992 EP11","47280809","","","673859315"
"","","","","","",""
"http://space.stackexchange.com","","(436724) 2011 UW158","47321753","","","673471822"
"","","3 Corvi","47294243","","","672378619"
"","","3 Geminorum","47524614","","","676075388"
"","","51 Eridani","47520852","","","682128877"
"","","6 Corvi","47294401","","","672378566"
"","","BW Vulpeculae","47405386","","","674145418"
"","","CubETH","47485983","","","675531469"
"http://nssdc.gsfc.nasa.gov/nmc/spacecraftDisplay.do?id=1990-005E","","OSCAR 17","47489475","","","675964399"
"http://www.keckobservatory.org/recent/entry/new_record_keck_observatory_confirms_most_distant_galaxy","","EGSY8p7","47478045","","","683329003"
"","","FN Canis Majoris","47485605","","","675404728"
"","","HIP 11915","47253642","","","678065877"
"","","","","","",""
"","","HIP 11915 b","47266911","","","678065871"
"","","HR 4699","47218879","","","671103133"
