"label","Geburtsort","birth place"
"Tommy Sheehan (Gaelic footballer)","http://dbpedia.org/resource/Fethard_GAA","http://dbpedia.org/resource/County_Tipperary"
"Will Kerwick","http://dbpedia.org/resource/County_Tipperary","Ballytarsna, County Tipperary, Ireland"
"Willie O'Neill (hurler)","http://dbpedia.org/resource/County_Wexford","http://dbpedia.org/resource/County_Wexford"
"Éamonn Hanrahan","http://dbpedia.org/resource/County_Tipperary","http://dbpedia.org/resource/County_Tipperary"
"Alan Corcoran","http://dbpedia.org/resource/County_Carlow","http://dbpedia.org/resource/County_Carlow"
"Brian Fenton","http://dbpedia.org/resource/Dublin","http://dbpedia.org/resource/Dublin"
"Brian Molloy (hurler)","http://dbpedia.org/resource/County_Galway","http://dbpedia.org/resource/Ballinasloe"
"Conor McDonald","",""
"Conor Whelan","","http://dbpedia.org/resource/Galway"
"Daithí Burke","","http://dbpedia.org/resource/Galway"
"Darren McCormack (hurler)","","http://dbpedia.org/resource/County_Westmeath"
"Gearóid McInerney","http://dbpedia.org/resource/County_Galway","http://dbpedia.org/resource/County_Galway"
"Greg Lally","http://dbpedia.org/resource/Gort_GAA","http://dbpedia.org/resource/Galway"
"James Dempsey (hurler)","http://dbpedia.org/resource/County_Offaly","http://dbpedia.org/resource/County_Offaly"
"Jason Flynn","http://dbpedia.org/resource/County_Galway","http://dbpedia.org/resource/Galway"
"John Duffy (Gaelic footballer)","",""
"John Owens (Gaelic footballer)","http://dbpedia.org/resource/County_Down","http://dbpedia.org/resource/County_Down"
"Liam Hayes (hurler)","http://dbpedia.org/resource/Dromina_GAA","http://dbpedia.org/resource/Dromina_GAA"
"Michael Walsh (Young Irelands hurler)","",""
"Mickey Mullins","http://dbpedia.org/resource/Cork_GAA","http://dbpedia.org/resource/Cork_(city)"
