"Link from a Wikipage to an external page","Wikipage page ID","label","Wikipage revision ID"
"http://www.dimayor.com/","47041417","Categoría Primera A 1959","668175320"
"http://www.dfb.de/index.php?id=97962","46328536","1963–64 Eintracht Frankfurt season","665772970"
"http://www.combinedcountiesleague.co.uk/","46732544","1978–79 Home Counties League","663455353"
"http://www.combinedcountiesleague.co.uk/","46732743","1979–80 Combined Counties Football League","663455386"
"http://www.f1h2o.com/index.php","46195359","1981 F1 Powerboat World Championship season","653338909"
"http://www.combinedcountiesleague.co.uk/","46741867","1981–82 Combined Counties Football League","663455453"
"http://www.combinedcountiesleague.co.uk/","46759551","1982–83 Combined Counties Football League","663455494"
"http://www.combinedcountiesleague.co.uk/","46759652","1983–84 Combined Counties Football League","663455530"
"http://www.combinedcountiesleague.co.uk/","46798135","1984–85 Combined Counties Football League","664002106"
"http://www.combinedcountiesleague.co.uk/","46846888","1985–86 Combined Counties Football League","664757356"
"http://www.theshots.co.uk/","47900170","1992-93 Aldershot Town F.C. season","683821662"
"http://www.formel3.de/index.php","46451849","Niemiecka Formuła 3 Sezon 2003","659520675"
"http://www.formel3.de/index.php","46442214","Niemiecka Formuła 3 Sezon 2004","657353127"
"http://football.org.il/TotoCup/Pages/PriemerLeague.aspx?LEAGUE_ID=630","46457056","2005–06 Toto Cup Leumit","657300966"
"http://www.goifl.com/historic_stats","47930930","2010 Austin Turfcats season","683032815"
"http://www.goifl.com/historic_stats","47827959","2010 Corpus Christi Hammerheads season","681208417"
"http://www.goifl.com/historic_stats","47703346","2010 San Angelo Stampede Express season","681005355"
"http://www.adac-procar.de","46332277","ADAC-Procar-Saison 2013","680502236"
"http://afl.com.au/","47347328","2013 Brisbane Lions season","678058846"
"http://www.afos.com/","46370067","2013 GT Asia Series season","672571570"
