"label","Wikipage page ID","Wikipage revision ID"
"Étoile de Charleville-Mézières","46245546","680071878"
"Вита (баскетбольный клуб)","47060990","683483592"
"BC Almaty","47057771","678616814"
"CB Ciudad de Valladolid","47539161","682744080"
"CB Getafe","47551617",""
"ESSM Le Portel","47437084","677046504"
"Fundación Lucentum Baloncesto","",""
"Hapoel Be'er Sheva B.C.","47414997","683413424"
"Kanazawa Samuraiz","45388337",""
"Luleå BBK","45456588",""
"Raptors 905","47103092","683904097"
"Sporting Athens women's basketball","47273074","672095025"
"Titánicos de León","45555511","649677478"
"Umeå BBK","45459158",""
"Union Neuchâtel Basket","45338196","679704378"
"Visby BBK","45456659",""
"Devonport Warriors","47925610","682930960"
"Club Gimnasia y Esgrima y Pedernera Unidos","47423937","674440977"
"Ironi Kiryat Ata B.C.","47924733","682731301"
"Reales de La Vega","47239443","671541544"
