"Wikipage revision ID","label","Wikipage page ID"
"619992340","Attribute-oriented programming","2099600"
"683093262","Attribute–value pair","2048269"
"627490679","Audio normalization","1477579"
"666496108","Audition","21290934"
"","B-boying","2528975"
"682332757","Backup","533867"
"","Bandana thrash",""
"683783284","Bassline","14733709"
"681617374","Batuque","11448539"
"682541661","Behavior-driven development","2965801"
"683652311","BeiDou Navigation Satellite System","358970"
"677012724","Bel canto","2344605"
"541373913","Boi (music)","1513915"
"","Bossa nova",""
"","Break (music)",""
"683856294","Broadway theatre","725252"
"683592858","Bug tracking system","898290"
"676527329","Capriccio (music)","2395699"
"682340917","Catholic social teaching","1463353"
"","Cloud storage",""
