"label","birth place"
"Adam Birnbaum","Boston, Massachusetts, U.S."
"Adam Bradford","http://dbpedia.org/resource/England"
"Adam Ford",""
"Adam Gibson (computer scientist)",""
"Adam Gubman",""
"Adam Kilgarriff",""
"Adam Lazarre-White",""
"Adam McArthur",""
"Adam WarRock",""
"Adil Ibrahim","Dubai"
"Adina Tal","Zürich, Switzerland"
"Adnan Buyung Nasution",""
"Adnan Malik","http://dbpedia.org/resource/Islamabad"
"Adrian Corker",""
"Adrian Timmis","Stoke-on-Trent, Staffordshire, England"
"Adriana Chechik",""
"Adrienne Truscott",""
"Agnes Chavez","New York, New York"
"Agnieszka Renc",""
"Ah Moon",""
