"label","Wikipage revision ID","Link from a Wikipage to an external page","Wikipage page ID","capacity"
"Trio-Twister 203","682192846","https://web.archive.org/web/*/http:/www.trio-twister.de/","47895578","one passenger"
"Viking Aircraft Viking II","682294932","https://web.archive.org/web/*/http:/www.vikingii.com/","47902386",""
"Villiers 26","681805678","","47671544",""
"Villiers 31","682245084","","47795495","eight"
"Villiers IV","682141162","http://m-selig.ae.illinois.edu/ads/afplots/goe436.gif","47792274",""
"Villiers V","680800356","","47770390",""
"Villiers VIII","680806575","","47792669",""
"Villiers XXIV","681365659","http://m-selig.ae.illinois.edu/ads/afplots/goe436.gif","47665459",""
"Wise GT-400","678595437","","47667584","1"
"Wrobel Vroby 2","682416292","","47910880","one passenger"
"AEREON 26","668327589","http://ntrs.nasa.gov/archive/nasa/casi.ntrs.nasa.gov/19760007965_1976007965.pdf","1039064",""
"AMD Zodiac","","","",""
"AME VI","668328228","http://www.ww2aircraft.net/forum/between-the-wars-1918-1939-a/birth-steps-pre-war-planes-spanish-military-aviation-29151.html","44853246",""
"ASJA L2","668328822","http://www.avrosys.nu/aircraft/Skol/449OE9.htm","10444519",""
"Acme Sportsman","668329797","","1020820","1"
"Adventure F series","668330265","","35231465",""
"AeroVironment Wasp III","","","",""
"Aero Adventure Pegasus","668331114","","1063537","1"
"Aero Concepts Discovery","668331503","http://www.aeroconceptsllc.com/html/specs.html","37478639",""
"ايرونكا 11 تشيف","668333352","http://www.bharat-rakshak.com/IAF/History/1960s/IAFMfr.html","6893287",""
