"Wikipage revision ID","label","Wikipage page ID","Link from a Wikipage to an external page","massif"
"654934579","Massif des Trois-Évêchés","46219477","http://www.vallouimages.com/haute-provence/tete-de-lestrop.htm","http://dbpedia.org/resource/Alps"
"680133663","Swabian-Franconian Forest","47713093","http://www.naturpark-sfw.de/",""
"674653443","Dervent Heights","47436025","",""
"","Dawna Range","","",""
"680134391","Frickenhofer Höhe","47744861","",""
"678093018","Gleichberge","47363590","http://www.naturparkreisen.de/roemhild/roemhild.htm",""
"673582922","Goat Range (Kananaskis)","47370868","",""
"680173730","Kleiner Odenwald","47728387","",""
"678093267","Lange Berge","47365798","",""
"683901340","Lattengebirge","48014368","http://www.alpenschamanismus.de/Schamanismus/Kraftorte/Bayern/Teufelsloch/teufelsloch.html",""
"","Limpurg Hills","47736998","",""
"680133665","Mainhardt Forest","47712875","",""
"680422236","Rammert","47706550","",""
"683897685","Serranía de Los Motilones","48014379","",""
"","Welzheim Forest","47718839","",""
"","Adelbert Range","","",""
"","Akademiya Nauk Range","","",""
"","Alay Mountains","","",""
"","Aravalli Range","","",""
"","Arfak Mountains","","",""
