"label","dist ly","Wikipage page ID","Wikipage revision ID"
"NGC 112","295","47574543","676944738"
"NGC 113","210","47574578","681307307"
"NGC 114","195","47574623","676946258"
"NGC 115","85","47574647","676946814"
"NGC 151","165","47571590","676947198"
"NGC 157","76.3","47976526","683568454"
"NGC 178","64.12","47975941","683568465"
"NGC 201","","47719639","679566870"
"NGC 235","","47725139","679697637"
"NGC 2613","","47896839","682198652"
"NGC 289","68.5","47976628","683568475"
"NGC 3021","","48008155","683896266"
"NGC 3041","","48009726","683946509"
"NGC 5001","","48014928","683946795"
"NGC 5256","","48010878","683946677"
"NGC 526","","47719483","679536159"
"NGC 7759","","47330055","676178085"
"Nu1 Lyrae","","47339585","673102831"
"Nu2 Lyrae","","47340705","673103787"
"Progress M-29M","","47973079","683709427"
