"appmag v","Wikipage page ID","class","label","prop mo dec","Wikipage revision ID","epoch","constell"
"11.16","47294360","G-","W Corvi","18.2","672378713","http://dbpedia.org/resource/Epoch_(astronomy)","http://dbpedia.org/resource/Corvus_(constellation)"
"8.51","47277204","A2V","W Ursae Minoris","","672264312","",""
"16.6","47558532","/","XTE J1550-564","","676673196","J2000","http://dbpedia.org/resource/Norma_(constellation)"
"8.1","47540562","K0 III","XX Trianguli","","676625267","J2000.0","http://dbpedia.org/resource/Triangulum"
"","47373307","","AK Pyxidis","","679533499","",""
"10.43","47576594","","HP Lyrae","–3.3 ± 1.5","676993506","J2000","http://dbpedia.org/resource/Lyra"
"5.779","47574551","A2V","HR 4339","","676983475","","http://dbpedia.org/resource/Hydra_(constellation)"
"","47599527","","KOI-256","","681575252","",""
"","47385109","","Kepler-296","","681305703","",""
"13.56","47591140","G9/K0","Kepler-421","","677963365","J2000",""
"12.12","47383870","M3.5V","LHS 2520","","673984882","J2000","http://dbpedia.org/resource/Corvus_(constellation)"
"5.91","47339585","","Nu1 Lyrae","","673102831","",""
"5.23","47340705","","Nu2 Lyrae","","673103787","",""
"8.83","47387668","B7V","RZ Pyxidis","","673866280","J2000","http://dbpedia.org/resource/Pyxis"
"6.85","47376397","G5IV + G5IV","TY Pyxidis","","679644106","J2000","http://dbpedia.org/resource/Pyxis"
"","47605419","","V4650 Sagittarii","","678525648","",""
"5.99","47577342","","V473 Lyrae","","677113905","",""
"17.759","47804843","","VHS 1256-1257","","681734524","J2000.0",""
"","47620848","M7IIIe","V Antliae","","677777386","","http://dbpedia.org/resource/Antlia"
"11.49","47725527","A4V + M3V","XX Pyxidis","","679796094","J2000","http://dbpedia.org/resource/Pyxis"
