"label","Wikipage page ID"
"Brunei dollar","383411"
"Macedonian denar","387597"
"Venezuelan bolívar","383936"
"New Zealand pound",""
"Peruvian inti",""
"Bhutanese rupee",""
"Burmese rupee","3301023"
"Karibischer Gulden",""
"Barbadian dollar",""
"Belgian franc",""
"Burundian franc","1634273"
"Falkland Islands pound",""
"Guyanese dollar","1549988"
"Jersey pound","1629104"
"Luxembourgish franc",""
"Solomon Islands dollar","1638446"
"Soviet ruble",""
"Djiboutian franc","1812222"
"Mozambican metical","1812237"
"Rwandan franc","1812204"
