"Wikipage revision ID","Link from a Wikipage to an external page","label","Wikipage page ID"
"679241062","http://www.balmazkezi.hu/","Balmazújvárosi KK","47688714"
"","","Canada men's national handball team","46633648"
"682305866","http://www.handballeger.hu/","Eger-Eszterházy SzSE","47700869"
"","","HC Midtjylland","46222250"
"678607510","","Issy-Paris Hand","46410819"
"679251774","http://www.komlokezi.hu/","Komlói BSK","47690709"
"679313960","http://www.siofokkc.hu","MTK Budapest (women's handball)","47698215"
"682306789","http://www.mezokovesdikc.hu/","Mezőkövesdi KC","47686901"
"","","Ribe-Esbjerg HH","46281142"
"","","Skanderborg Håndbold",""
"","","SønderjyskE Håndbold",""
"679219710","http://www.tke.hu/","Törökszentmiklósi KE","47703229"
"679173429","http://www.ozdi.hu/","Ózdi KC","47703561"
"682839719","http://www.nfh.dk/","Nykøbing Falster Håndboldklub","45617274"
"","","Viking HK Stavanger","34891816"
"","","GWD Minden","36825751"
"680971624","http://www.ringkobinghaandbold.dk/","Ringkøbing Håndbold","45617180"
"","","Handball Club Odense",""
"","","Maccabi Rishon LeZion (handball)",""
"631274514","","Hapoel Petah Tikva (pallamano)","36016574"
