"Sterbedatum","Geburtsdatum","label"
"1710","1645","Muhammad al-Zurqani"
"","","Panagiotis Kondylis"
"","","Roger Haight"
"","","Rosi Braidotti"
"","","Shibli Nomani"
"","","Stephen Mulhall"
"","","سيد أمير علي"
"","","Traian Brăileanu"
"","","Ullin Place"
"","","Wahb ibn Munabbih"
"","","Sibawayh"
"","","Al-Mutanabbi"
"","","Aleksandr Dugin"
"","","Bernard Gert"
"","","Christoph von Sigwart"
"","","Hubert Dreyfus"
"","","John Mearsheimer"
"","","Raya Dunayevskaya"
"","","Samuel Alexander"
"","","Solomon ibn Gabirol"
