"label","Geburtsort"
"Dustin Cook","http://dbpedia.org/resource/Ontario"
"Patrick McMillan",""
"Joe Wilson (bobbista)",""
"Khairallah Assar",""
"Jennie Öberg","http://dbpedia.org/resource/Sweden"
"Aldo Stella (skier)",""
"Anders Jacobsen",""
"Anders Södergren",""
"Arthur Pauli",""
"Gianfranco Stella",""
"جاكي شمعون","http://dbpedia.org/resource/Lebanon"
"Jamil El Reedy",""
"Jiří Parma",""
"Leonardo David",""
"Mireille Richard",""
"Muhammad Abbas",""
"Roar Ljøkelsøy",""
"Seiji Yamada",""
"Tatiana Locatelli",""
"Wolfgang Ender",""
