"label","Geburtsort","birth place"
"Арзуманян, Севада Яковлевич","http://dbpedia.org/resource/Yerevan","http://dbpedia.org/resource/Yerevan"
"Shlomo Levi","",""
"間瀬秀一","http://dbpedia.org/resource/Mie_Prefecture","http://dbpedia.org/resource/Mie_Prefecture"
"Siavash Bakhtiarizadeh","http://dbpedia.org/resource/Ahvaz","http://dbpedia.org/resource/Ahvaz"
"Stamen Belchev","http://dbpedia.org/resource/Haskovo","http://dbpedia.org/resource/Haskovo"
"Steve Darby (football manager)","http://dbpedia.org/resource/England","http://dbpedia.org/resource/England"
"Suren Chakhalyan","http://dbpedia.org/resource/Yerevan","http://dbpedia.org/resource/Yerevan"
"Sushil Bhattacharya","",""
"Tomaž Petrovič","http://dbpedia.org/resource/Brežice","http://dbpedia.org/resource/Brežice"
"Valeri Bogdanets","http://dbpedia.org/resource/Poltava","http://dbpedia.org/resource/Poltava"
"Wiktor Jabłonski","http://dbpedia.org/resource/Kiev","http://dbpedia.org/resource/Kiev"
"Uładzimir Hiewarkian","http://dbpedia.org/resource/Brest,_Belarus","http://dbpedia.org/resource/Brest,_Belarus"
"Книллер, Владимир Артурович","http://dbpedia.org/resource/Kazakh_Soviet_Socialist_Republic","http://dbpedia.org/resource/Kazakh_Soviet_Socialist_Republic"
"Гапон, Владимир Аркадьевич","http://dbpedia.org/resource/Lutsk","http://dbpedia.org/resource/Lutsk"
"Vyacheslav Afonin","http://dbpedia.org/resource/Russian_Soviet_Federative_Socialist_Republic","http://dbpedia.org/resource/Russian_Soviet_Federative_Socialist_Republic"
"Wjaczesław Chrusłow","http://dbpedia.org/resource/Kharkiv","http://dbpedia.org/resource/Kharkiv"
"Никифоров, Вячеслав Владимирович","http://dbpedia.org/resource/Russian_Soviet_Federative_Socialist_Republic","http://dbpedia.org/resource/Russian_Soviet_Federative_Socialist_Republic"
"Vyacheslav Zvyagin","http://dbpedia.org/resource/Russian_Soviet_Federative_Socialist_Republic","http://dbpedia.org/resource/Russian_Soviet_Federative_Socialist_Republic"
"Герасимов, Евгений Викторович","http://dbpedia.org/resource/Legnica","http://dbpedia.org/resource/Legnica"
"Калинин, Евгений Евгеньевич","http://dbpedia.org/resource/Grodno","http://dbpedia.org/resource/Grodno"
