"Wikipage page ID","Arm","Band","Wikipage revision ID","label","CAS number"
"3205439","q","23.2","657291834","Melanin-concentrating hormone","67382"
"536557","","","672969014","Melanocyte-stimulating hormone",""
"","","","","Methuselah-like proteins",""
"14164214","","","674198182","MBD2",""
"","","","","Mga (protein)",""
"","","","","Mikrosomales Triglycerid-Transferprotein",""
"","","","","Myelin-associated glycoprotein",""
"","","","","NAPA (gene)",""
"14149899","","","678979622","NOD1",""
"14874748","","","678979814","NPAT (gene)",""
"14181897","","","678980463","NUMB",""
"14348703","","","678981720","Natriuretic peptide precursor C",""
"5826751","","","670393197","Neurotensin",""
"6766548","p","","673308076","P14arf",""
"","","","","Pancreatic polypeptide",""
"","","","","Patched",""
"14756412","","","678913158","Peptidylglycine alpha-amidating monooxygenase",""
"14769118","","","679011116","Periplakin",""
"","","","","Plant lipid transfer proteins",""
"14799390","","","679019501","Prolactin-induziertes Protein",""
