"gender","imagesize","label","Wikipage page ID","Wikipage revision ID","meaning"
"female","200","Diamante (nome)","17572509","597382412",""diamond""
"","","Diana (Vorname)","13902514","668280995",""
"Female","","Donna (Vorname)","14945328","672762041","lady or woman"
"Female","","Dorothy","13934914","678188592",""
"","","杜 (姓)","14023155","643037525",""
"Female","","Eliza (given name)","919312","680927169","My God is an oath, joyful"
"Male","","يوجين","14027781","679488191",""noble", "well-born""
"","","Felix","24045114","683580917",""
"","","Fiske","3671190","544260385",""
"","","Francesca","603455","683781749",""
"Female","","Frederica (given name)","22412853","608582867",""peaceful ruler""
"","","Gellner","697786","603544307",""
"Female","","Geraldine","42905137","648337119","Spear Ruler"
"masculine","","Giles (given name)","13260840","672202768",""
"","","Ginny","679615","666926958",""
"","","Harper (Familienname)","11807147","682703946",""pleasant and brave""
"Unisex","","Haruka","16233274","680827224","different meanings depending on the kanji used"
"","","Harunobu","656998","536319976",""
"","","Hayden (Name)","14324117","681090834",""
"feminine","200","Hazel (nome)","17130019","604026879",""hazel""
