"label","Wikipage page ID","Wikipage revision ID","Link from a Wikipage to an external page"
"1963–64 Eintracht Frankfurt season","46328536","665772970","http://www.dfb.de/index.php?id=97962"
"1992-93 Aldershot Town F.C. season","47900170","683821662","http://www.theshots.co.uk/"
"2013 Brisbane Lions season","47347328","678058846","http://afl.com.au/"
"2014–15 CS Mindelense season","47732421","680605753","http://www.csmindelense.com"
"2014–15 Evian Thonon Gaillard F.C. season","46982000","670278582","http://www.etgfc.com/"
"Futbol'nyj Klub Dynamo Kyïv 2014-2015","46296455","678519187","http://www.fcdynamo.kiev.ua/"
"2014–15 FC Lorient season","46237489","670450209","http://www.fclweb.fr/"
"2014–15 FC Metz season","46219780","668333877","http://www.fcmetz.com/"
"Saison 2014-2015 du FC Nantes","45698033","677465933","http://www.fcnantes.com/accueil.php"
"2014–15 RC Lens season","46964421","675433118","http://www.rclens.fr/site/"
"2014–15 Stade Malherbe Caen season","46982433","673371150","http://www.smcaen.fr/"
"2014–15 Stade Rennais F.C. season","46982501","673371164","http://www.staderennais.com/"
"2014–15 Stade de Reims season","46238866","681350119","http://www.stade-de-reims.com/"
"2015 Breiðablik UBK season","45666271","682477227","http://www.breidablik.is/knattspyrna"
"2015 Chin United season","47705689","679211177","http://chinunitedfc.com/"
"2015 Drogheda United F.C. season","45644385","669919690","http://www.droghedaunited.ie/"
"2015 FC Kansas City season","46479219","683889828","http://www.fckansascity.com"
"2015 Fimleikafélag Hafnarfjarðar season","46317241","683342376","http://www.fh.is"
"2015 Fylkir season","46726288","683977999","http://www.fylkir.is"
"2015 Hanthawaddy United season","47705686","682135658","http://www.rakhineunitedfc.com/"
