"Wikipage page ID","Link from a Wikipage to an external page","Wikipage revision ID","label"
"46819543","http://www.sajed.ir/en/content/view/33/201/","664487632","Operación Karbala 5"
"47245214","","672554742","1965 Burundian coup d'état"
"47307984","","672595065","1966 Republic of the Congo coup d'état attempt"
"47307714","","672658717","1968 Republic of the Congo coup d'état"
"47308337","","672882172","1972 Republic of the Congo coup d'état attempt"
"47269253","","675666573","1976 Burundian coup d'état"
"47209963","","679435521","1979 Equatorial Guinea coup d'état"
"47308730","","672606115","1987 Republic of the Congo coup d'état attempt"
"47278591","","683718641","2001 Burundian coup d'état attempt"
"47408368","","674504638","2001 Central African Republic coup d'état attempt"
"47545984","","","مجزرة دوما"
"47187102","","","Action at Abraham's Creek"
"47191708","https://books.google.com/books?id=OBkNAQAAMAAJ&pg=PA882&dq=action+at+accotink&hl=en&sa=X&ei=vvOdVdHYHcq0oQSYrqyYBg&ved=0CBwQ6AEwAA#v=onepage&q=action%20at%20accotink","675970161","Action at Accotink"
"47177974","","677046441","Aleppo offensive (July 2015)"
"47517849","","682850479","April 23, 1998 Albanian–Yugoslav border ambush"
"47209561","http://www.kitahiro.jp/shiseki/aritajoshi.html","671787223","有田中井手の戦い"
"47493881","","675894943","Битва за Батину"
"47479153","","675405457","Battle of Bishops Court"
"47479902","","675306152","Bataille de Cadoret"
"47457481","https://books.google.com.vn/books?id=Nas6GwFndYoC&printsec=frontcover&hl=vi&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false","679289221","Battle of Cao Bang (1979)"
