"Geburtsort","birth place","label"
"http://dbpedia.org/resource/Normanton,_West_Yorkshire","Normanton, England","Alan Beards"
"http://dbpedia.org/resource/Australia","http://dbpedia.org/resource/Australia","Alan Waddell"
"","Long Island, New York","Alana I. Capria"
"","","Alatenghua"
"http://dbpedia.org/resource/Bakersfield,_Vermont","Bakersfield, Vermont","Alayna Westcom"
"http://dbpedia.org/resource/'s-Hertogenbosch","","Albert West"
"http://dbpedia.org/resource/Asiago","Asiago, Italy","Alberto Frigo"
"","","Alec Torelli"
"","","Aleesa Cohene"
"","","Aleksander Bosak"
"http://dbpedia.org/resource/Australian_Capital_Territory","","Aleksi Toivonen"
"http://dbpedia.org/resource/Kiev","http://dbpedia.org/resource/Kiev","Анд, Алексей Дмитриевич"
"","","Alex Blumberg"
"","","Alex Cormack"
"","Orange County, California, U.S.A","Alex Minsky"
"http://dbpedia.org/resource/Barcelona","Barcelona, Spain","Alex Pella"
"http://dbpedia.org/resource/Hungary","http://dbpedia.org/resource/Hungary","Alex Szalay"
"http://dbpedia.org/resource/Toronto","","Alex Wright (musician)"
"http://dbpedia.org/resource/Siberia","Siberia,  Russia","Alexander Klevan"
"http://dbpedia.org/resource/Odessa_Oblast","http://dbpedia.org/resource/Odessa_Oblast","Дубовой, Александр Фёдорович"
