"label","Wikipage page ID","Wikipage revision ID"
"Agro FOOD Industry Hi Tech","45626768","677907580"
"Aik Thi Misal","47653536","680093977"
"Airline Highway (play)","46919559","676074717"
"Akane the Kunoichi","",""
"Akkamma Stalinum Pathrose Gandhiyum","46523931","680367006"
"AlVolante","",""
"Alaskan Women Looking for Love","47899618","682429751"
"Albion Online","",""
"Album One","47724591","679970798"
"Alex Polizzi: Chefs on Trial","46487629","683821499"
"Alice Dreams Tournament","47805753","683907872"
"拜託了，媽媽","47669633","680525677"
"All For One Caribbean","47952989","683916265"
"Aloko Udapadi","46982502","679457811"
"Alone (TV Series: 2015)","47951220","683577183"
"Alpha and Omega (film series)","",""
"Alvida (TV series)","46287690","682052043"
"Always Cantare","47044022","668042425"
"Amanda (album)","47783138","680640260"
"Amazing Azerbaijan","46247041",""
