"Wikipage revision ID","label","Wikipage page ID","Wikipage disambiguates"
"663838244","Bashir","588473","http://dbpedia.org/resource/Abu_Bakar_Bashir"
"676732379","Basil","6979663",""
"516443194","Batu (given name)","31830233",""
"676432177","Belinda","573149","http://dbpedia.org/resource/Belinda_(Edgeworth_novel)"
"679123608","Bianca","573112","http://dbpedia.org/resource/Bertha_Schwarz"
"666705687","Brittany (name)","2284269",""
"","Brodie","",""
"590041727","Carme (name)","28797522",""
"675127684","Carmen (Vorname)","7953601",""
"682687782","Casey (nome)","17873023",""
"681350417","Casper","538988","http://dbpedia.org/resource/Casper_(surname)"
"680827740","Chitose","588148","http://dbpedia.org/resource/Chitose,_Hokkaido"
"659854797","Chlothar","503355","http://dbpedia.org/resource/Chlothar_I"
"683553337","Connor (voornaam)","34998534",""
"681969573","Conrad","16439975",""
"672232397","Cordelia","573105","http://dbpedia.org/resource/Characters_in_the_Thursday_Next_series"
"681275501","Dagobert","530150","http://dbpedia.org/resource/Dagobert_(4th_century)"
"671499765","Debbie","8983792",""
"669762673","Desiree (given name)","24205449",""
"678747092","Desmond (nome)","30855820",""
