"Link from a Wikipage to an external page","built","label","image caption","Wikipage page ID","Wikipage revision ID"
"http://Whitehurst%20Hall%20History","1926","Whitehurst Hall","Whitehurst Hall, Oklahoma State University","47016159","671549152"
"http://www.zepyur.am/about/","","Zepyur Football Training Camp","","46397800","656268607"
"http://www.realsociedad.com/document/view/spa/181/135101/zubieta","","Instalaciones de Zubieta","","46380175","673118944"
"http://www.bloomnet.org","","Bloom (locale)","","45583095","668989201"
"http://teatrulnationalbalti.md/ro/","","Национальный театр имени Василе Александри","","47228754","672797806"
"http://cocorico.it","","Cocoricò","","47290271","672382675"
"http://www.elcentrodeconvenciones.com/","","Downtown Majestic","","47292278","683031717"
"","","Gas Monkey Bar N' Grill","","45608740","673044759"
"http://www.hawkspdx.club","","Hawks PDX","","47281371","672281196"
"http://jeffersonpac.com/","","Jefferson Performing Arts Center (Louisiana)","","47174037","670305183"
"http://sfrecpark.org/reservablefacility/jerry-garcia-amphitheater/","","Jerry Garcia Amphitheatre","","47086714","675198216"
"http://www.livemusichall.de/","","Live Music Hall","","45402041","683485534"
"","","Paris Theatre (Portland, Oregon)","","",""
"http://www.prioritetsernekearena.se/","","Prioritet Serneke Arena","","47729149","679601771"
"","","Red Eye Theater","","47449924","675485058"
"http://www.steamportland.com","","Steam Portland","","47281281","678561677"
"","","Teatro Dante (Sansepolcro)","","47449515",""
"http://www.tophill.me/","2009","Top Hill","","47450622","674986905"
"http://www.xoyo.co.uk","","XOYO","","47560328","680655414"
"","","Yerevan State Marionettes Theatre","","45483344",""
