"Wikipage revision ID","label","Wikipage page ID","Link from a Wikipage to an external page"
"666120358","Superior labial artery","4485542","http://www.dartmouth.edu/~humananatomy/figures/chapter_47/47-5.HTM"
"","Superior lateral genicular artery","",""
"","Superior medial genicular artery","",""
"","Superior ulnar collateral artery","",""
"","Zygomatico-orbital artery","",""
"","شريان قضيبي عميق","",""
"664206847","Facial artery","2580563",""
"","Marginal artery of the colon","",""
"","Suprascapular artery","",""
"661875668","Brachial artery","231444","http://anatomy.med.umich.edu/surface/pulses/pulses.html"
"682278877","Deep artery of arm","4546132",""
"","Glandular branches of facial artery","",""
"","上甲状腺動脈腺枝","",""
"","Inferior hypophysial artery","",""
"","Submental artery","",""
"","Superior hypophysial artery","",""
"","Anterior superior alveolar arteries","",""
"","Deep external pudendal artery","",""
"","First dorsal metatarsal artery","",""
"","شريان حلزوني قضيبي","",""
