"label","Wikipage page ID"
"Lawrence Atyusz","47500093"
"Martin Hont-Pázmány","47456585"
"Miska III Atyusz","47499531"
"Mojs I Ákos",""
"Nicholas Pok","47215920"
"Osvát Szilágyi","47287621"
"Peter, son of Töre",""
"Peter (judge royal)","47269031"
"Pousa Bár-Kalán","47525992"
"Rednald","47261547"
"Robert de Thweng",""
"Sal Atyusz","47497058"
"Sir Edward Devereux, 1st Baronet of Castle Bromwich",""
"Solomon Atyusz",""
"Stefan Aleksander Potocki",""
"",""
"Bazyli Łukasz Wróblewski",""
"Dujam II Frankopan",""
"Duque de Goa","47345301"
"Ferdinand, Prince of Solms-Braunfels",""
