"label","Geburtsort","birth place"
"Gerald Mulcahy","http://dbpedia.org/resource/Blackpool,_Cork","http://dbpedia.org/resource/Blackpool,_Cork"
"Gerry Enright","http://dbpedia.org/resource/Cahir_GAA","http://dbpedia.org/resource/County_Tipperary"
"Ian Fahey","http://dbpedia.org/resource/County_Tipperary","http://dbpedia.org/resource/County_Tipperary"
"Jackie Good","http://dbpedia.org/resource/Dungarvan_GAA","http://dbpedia.org/resource/County_Waterford"
"Jason Lonergan","http://dbpedia.org/resource/County_Tipperary","http://dbpedia.org/resource/County_Tipperary"
"Jim Healy (Gaelic footballer)","http://dbpedia.org/resource/County_Tipperary","http://dbpedia.org/resource/County_Tipperary"
"Jim O'Meara (Gaelic footballer)","http://dbpedia.org/resource/Grangemockler_GAA","Grangemockler, County Tipperary, Ireland"
"Jimmy Feehan","http://dbpedia.org/resource/Killenaule_GAA","http://dbpedia.org/resource/County_Tipperary"
"Joe Lyng","http://dbpedia.org/resource/County_Kilkenny","http://dbpedia.org/resource/County_Kilkenny"
"John Small (Gaelic footballer)","http://dbpedia.org/resource/Dublin","http://dbpedia.org/resource/Dublin"
"Jonathan Lyne","",""
"Keith Carmody (hurler)","http://dbpedia.org/resource/Causeway_GAA","http://dbpedia.org/resource/County_Kerry"
"Kevin Mulryan","http://dbpedia.org/resource/County_Tipperary","http://dbpedia.org/resource/County_Tipperary"
"Liam Casey (Gaelic footballer)","http://dbpedia.org/resource/Cahir_GAA","http://dbpedia.org/resource/County_Tipperary"
"Liam Cronin","http://dbpedia.org/resource/County_Tipperary","http://dbpedia.org/resource/County_Tipperary"
"Michael Goonan","http://dbpedia.org/resource/County_Tipperary","http://dbpedia.org/resource/Newcastle,_County_Tipperary"
"Michael Phelan (Gaelic footballer)","http://dbpedia.org/resource/Ardfinnan_GAA","http://dbpedia.org/resource/County_Tipperary"
"Mick Hickey","http://dbpedia.org/resource/Portlaw_GAA","http://dbpedia.org/resource/County_Waterford"
"Ned Carew","","http://dbpedia.org/resource/County_Waterford"
"Ned Wade (hurler)","","Boherlahan, County Tipperary, Ireland"
