"label","Geburtsdatum","Geburtsort","birth place"
"Baadshah Pehalwan Khan","1993-09-09","http://dbpedia.org/resource/Wah","http://dbpedia.org/resource/Wah"
"Eden Stiles","","http://dbpedia.org/resource/United_States",""
"Flyer (wrestler)","","http://dbpedia.org/resource/Monclova","http://dbpedia.org/resource/Monclova"
"Cora Combs","","",""
"Danny Cage","1973-12-19","http://dbpedia.org/resource/Cinnaminson_Township,_New_Jersey","Cinnaminson, New Jersey, United States"
"Angel Cotto (wrestler)","1987-05-23","http://dbpedia.org/resource/Caguas,_Puerto_Rico","http://dbpedia.org/resource/Caguas,_Puerto_Rico"
"Ayoub Baninosrat","1968","http://dbpedia.org/resource/Tabriz",""
"Babacar Sar","","",""
"Dave Levin (wrestler)","","http://dbpedia.org/resource/Brooklyn","http://dbpedia.org/resource/Brooklyn"
"Gionna Daddio","1994-06-08","http://dbpedia.org/resource/Paramus,_New_Jersey","Paramus, New Jersey, U.S."
"英乃海拓也","","http://dbpedia.org/resource/Edogawa,_Tokyo","http://dbpedia.org/resource/Edogawa,_Tokyo"
"John Michael Meek","","",""
"Jonnie Stewart","","http://dbpedia.org/resource/Chicago","http://dbpedia.org/resource/Chicago"
"Lina Fanene","","http://dbpedia.org/resource/Honolulu",""
"Oumar Samba Sy","","",""
"Salem Ould Habib","","",""
"Samba Adama","","",""
"青狼武士","","http://dbpedia.org/resource/Ulaanbaatar",""
"Alireza Karimi","","",""
"Athena (wrestler)","","http://dbpedia.org/resource/Garland,_Texas","http://dbpedia.org/resource/Garland,_Texas"
