"binomial","label","Wikipage revision ID","Wikipage page ID"
"Agnippe aequorea","Agnippe aequorea","672583498","47307376"
"Agnippe aulonota","Agnippe aulonota","672585341","47307474"
"","Agnippe biscolorella","672692712","47314753"
"","Agnippe crinella","672692993","47314783"
"","Agnippe evippeella","672693433","47314801"
"","Agnippe fuscopulvella","672693927","47314850"
"Agnippe leuconota","Agnippe leuconota","672697224","47315028"
"Agnippe omphalopa","Agnippe omphalopa","672585911","47307504"
"Agnippe prunifoliella","Agnippe prunifoliella","672694814","47314915"
"","Aleutihenricia","672832279","47323027"
"","Ali-Royal","",""
"Alpheus fasqueli","Alpheus fasqueli","672158656","47258063"
"Alpheus tricolor","Alpheus tricolor","672158650","47223513"
"","Alsodryas deltochlora","674359835","47413955"
"","Alsodryas lactaria","674360440","47413957"
"","Alsodryas prasinoptila","674360099","47413960"
"","Amblygaster clupeoides","671211669","47225672"
"","Amblygaster leiogaster","671212172","47225737"
"","Amblygaster sirm","","47225891"
"","Amblymora australica","670788357","47165204"
