"label","Wikipage page ID","Wikipage revision ID","Link from a Wikipage to an external page"
"British Rail Class 156","988168","680712619","http://www.klickthis.com/gallery-railways-scotland-leadlocomotiveclass-110-DMU+Class+-+156.html"
"British Rail Class 357","986337","682230038","http://www.users.globalnet.co.uk/~kelsey/cranch13.htm#railways"
"British Rail Class 404","988055","681455311","http://www.bluebellrailway.co.uk/bluebell/pic2/maun/cor.html"
"British Rail Class 411","980261","681455335","http://www.epbpg.co.uk/grouphistory.htm"
"SJ X2","904107","674512034","http://documents.epfl.ch/users/a/al/allenbac/www/documents/Fich0316.pdf"
"RATP-Baureihe MP 55","35311671","681565431",""
"営団06系電車","13964990","682794160","http://www.tokyometro.jp/corporate/enterprise/passenger_rail/cars/working/chiyoda_06/index.html"
"British Rail APT-E","","",""
"British Rail Class 204","1383312","659900323","http://www.bloodandcustard.com/hampshire001.html"
"British Rail Class 370","1278117","682905747","http://www.themanufacturer.com/uk/detail.html?contents_id=4167"
"British Rail Class 419","1254626","679555939","http://www.bloodandcustard.com/mlv001.html"
"LMS railcars","","",""
"London Underground 1962 Stock","1369500","668943406","http://www.cravensheritagetrains.co.uk/"
"Turbostar","","",""
"国鉄415系電車","","",""
"SBB RABe 520","37159532","678907036",""
"Z 21500","33767031","674338997",""
"ČD-Baureihe 814","32564821","677070468",""
"JR東日本251系電車","18325039","641182773","http://www.jreast.co.jp/train/express/251.html"
"NZR 56-foot carriage","21097611","663298103","http://www.nzetc.org/tm/scholarly/Gov12_12Rail-fig-Gov12_12Rail015c.html"
