"thumbnail","label","Wikipage revision ID","Wikipage page ID"
"http://commons.wikimedia.org/wiki/Special:FilePath/Practical_human_anatomy_(electronic_resource)_-_a_working-guide_for_students_of_medicine_and_a_ready-reference_for_surgeons_and_physicians_(1886)_(14775593414).jpg?width=300","Occipital nerve block","679906801","47456169"
"","Iliac (nerve) plexus","681029629","47784587"
"","Ureteric plexus","681031547","47785798"
"","Optic nerve","683644964","152465"
"","Radial nerve","679305820","228284"
"","Superior cervical ganglion","",""
"","Inferior root of ansa cervicalis","",""
"","Intermediate nerve","670876837","7355763"
"","Lesser occipital nerve","",""
"","Splenic plexus","",""
"","Lateral plantar nerve","",""
"","Meningeal branch of the mandibular nerve","",""
"","Meningeal branch of vagus nerve","",""
"","Meningeal branches of spinal nerve","",""
"","Dorsal nerve of clitoris","",""
"","Dorsal nerve of the penis","",""
"","Lateral abdominal cutaneous branch of intercostal nerve","",""
"","Temporal branches of the facial nerve","",""
"","Long thoracic nerve","",""
"","Suboccipital nerve","",""
