"label","Geburtsort"
"Jessica Diggins","http://dbpedia.org/resource/Minnesota"
"Jochen Danneberg",""
"Johan Olsson (Skilangläufer)",""
"Kalle Keituri",""
"Kalle Palander",""
"Lars-Göran Åslund",""
"Lucie Oršulová",""
"Marija Trmčić",""
"Mark Edwards (skier)",""
"Markus Eberle",""
"Melanie Bernier (ski mountaineer)",""
"Nadeschda Nikolajewna Patrakejewa","http://dbpedia.org/resource/Russia"
"Igor Badamshin",""
"Iryna Leletko","http://dbpedia.org/resource/Ukraine"
"Kiki Cutter",""
"Martin Huber","http://dbpedia.org/resource/Almaty"
"Rostysław Feszczuk",""
"Verner Lundström",""
"Picabo Street",""
"Vegard Ulvang",""
