"architect","Wikipage revision ID","capacity","address","Wikipage page ID","Link from a Wikipage to an external page","label"
"Arno Meijs","680514976","1540","Marnixstraat 404","47773101","https://delamar.nl/","DeLaMar"
"","654848783","","129","46291298","http://diamondnation.com","Diamond Nation"
"","671160276","","","46395414","http://www.realsporting.com/webrsg/index.php/template/mareo","Escuela de fútbol de Mareo"
"Sierra Cardona Ferrer & HOK Architects","683792194","","","47963412","http://www.ticketpop.com","Events at José Miguel Agrelot Coliseum"
"","681256286","","Buckinghamshire","46916420","http://www.everymancinema.com/venues/gerrards-cross/","Everyman Gerrards Cross"
"","672746584","","","46379617","http://www.athletic-club.eus/en/facilities-lezama.html","Instalaciones de Lezama"
"","672621799","","","46823248","","Lied Center of Kansas"
"","683875054","","","46621427","http://www.clippers.com","Los Angeles Clippers Training Center"
"","679504196","","","47665795","http://memphismusichalloffame.com/","Memphis Music Hall of Fame"
"","","","","","","مسرح مايكروسوفت"
"","682328579","","","46354257","http://www.nba.com/bucks/arena","Milwaukee Bucks Arena"
"","654387418","","","46196318","http://www.moattheatre.com","Moat Theatre"
"","655044292","","","46219664","http://newenglandbaseball.com","New England Baseball Complex"
"","682601682","","","47913782","https://papaya.com.hr","Papaya (club)"
"","664947789","","","46710689","http://www.shreveportla.gov/Facilities/Facility/Details/34","RiverView Theater (Shreveport, Louisiana)"
"","674154145","","Abington Square","46574245","http://thedeco.co.uk/","The Deco"
"","675306551","","","46779721","http://facebook.com/theatresurjya","Theatre Surjya"
"","672385350","","","46791586","http://www.tobincenter.org","Tobin Center for the Performing Arts"
"","679923831","","Motzstraße 19 10777","47648011","http://www.tomsbar.de","Tom's Bar"
"","683153713","","","47936783","http://www.atletico.com.br/clube-atletico-mineiro/clubes/vila-olimpica","Vila Olímpica"
