"Wikipage revision ID","label","Wikipage page ID"
"683248535","Ruhnu Lighthouse","47936806"
"682985330","Shabla Lighthouse","47938650"
"","Sääretüki Lighthouse",""
"","Sõrve Lighthouse",""
"","Tahkuna Lighthouse",""
"682646124","Uostadvaris Lighthouse","47921121"
"","Vaindloo Lighthouse",""
"","Vilsandi Lighthouse",""
"683441193","Virtsu Lighthouse","47938304"
"675763299","Leuchtturm Oberfeuer Blankenese","47108832"
"675763840","Leuchtturm Unterfeuer Blankenese","47108450"
"678090092","Faro de Pedra de Lume","47335042"
"679837619","Glosholm lighthouse","47347573"
"677637091","Haulbowline Lighthouse","47610644"
"682718988","Kadalur Point Lighthouse","47791955"
"683031648","Kaliakra Lighthouse","47942860"
"678667816","Lighthouse of Ponta Negra","47673749"
"682230067","Livorno Lighthouse (Fanale dei Pisani)","47871537"
"682120486","Puerto de la Cruz Lighthouse","47881570"
"679122951","Puerto del Rosario Lighthouse","47699991"
