"Wikipage page ID","label","Link from a Wikipage to an external page","Wikipage revision ID"
"14173701","Old City of Bern","http://www.zeitglockenturm.ch","666533863"
"","Serra da Capivara National Park","",""
"","Serra do Mar","",""
"","Valle dei Templi","",""
"","Central Suriname Nature Reserve","",""
"36331605","Grenz- und Garnisonsstadt Elvas mit ihren Befestigungen","http://whc.unesco.org/en/list/1367","683446503"
"","Tropical Rainforest Heritage of Sumatra","",""
"","Brú na Bóinne","",""
"","Causses","",""
"","Chehel Sotoun","",""
"","Cueva de las Manos","",""
"","Dome of Soltaniyeh","",""
"","Douro DOC","",""
"","Engelsberg Ironworks","",""
"","Hortobágy National Park","",""
"","Humble Administrator's Garden","",""
"","Islamic Cairo","",""
"","Itchan Kala","",""
"","Knowth","",""
"","La Santísima Trinidad de Paraná","",""
