"label","Link from a Wikipage to an external page","Wikipage page ID","Wikipage revision ID"
"Viper Aircraft Viperfan","http://viperjet.com/","46657499","668330506"
"Airbus Helicopters H160","http://www.airbushelicopters.com/website/en/ref/H160_204.html","45574933","677795773"
"Baojun 730","http://www.sgmw.com.cn/730/","47430741","678771887"
"Fresh Breeze Flyke","http://www.fresh-breeze.de/en/products/trikes/flyke.html","47255543","675127760"
"German submarine U-643","","47219462","682198136"
"U-644","","",""
"German submarine U-646","","",""
"German submarine U-647","","",""
"German submarine U-648","","47219474",""
"German submarine U-649","","",""
"U 650","","",""
"German submarine U-655","","",""
"U-668","","47219586","682198492"
"U 669","","47219604","682198498"
"German submarine U-670","","",""
"German submarine U-671","","",""
"German submarine U-672","","47219623",""
"German submarine U-673","","",""
"German submarine U-674","","",""
"German submarine U-675","","",""
