"label","Geburtsort"
"Mariano Lukov","http://dbpedia.org/resource/Plovdiv_Province"
"Pierre-Luc Thériault","http://dbpedia.org/resource/Rimouski"
"Anelia Karova","http://dbpedia.org/resource/People's_Republic_of_Bulgaria"
"Kiril Popov","http://dbpedia.org/resource/Plovdiv_Province"
"Zhou Lansun","http://dbpedia.org/resource/Hangzhou"
"Manji Fukushima",""
"Wang Nan (table tennis)",""
"Shaimaa Abdul-Aziz","http://dbpedia.org/resource/Giza"
"Tvin Moumjoghlian",""
"Finn Tugwell",""
"David Fernández (table tennis)","http://dbpedia.org/resource/Puerto_Rico"
"Jens Lundqvist",""
"Chiang Tsai-yun",""
"Gao Ning",""
"Шмырёв, Максим Витальевич",""
"Tan Ruiwu","http://dbpedia.org/resource/Shenyang"
"Dimitrij Ovtcharov",""
"Li Fen","http://dbpedia.org/resource/Shandong"
"Zhu Yuling",""
"Kalinikos Kreanga",""
