"Wikipage page ID","Wikipage revision ID","label"
"37250120","649428636","Ambewela Aitken Spence Wind Farm"
"","","Green River Generating Station"
"","","Hampton Wind Park"
"","","Kalocsa Power Plant"
"","","Kavarna Wind Farm"
"","","Pumpspeicherwerk Markersbach"
"","","Охотниково (электростанция)"
"","","Simplício Hydroelectric Complex"
"","","Belle River Power Plant"
"","","محطة بوشهر الكهروذرية"
"","","Connah's Quay Power Station"
"","","Coolkeeragh power station"
"","","Deeside Power Station"
"","","Glomfjord power plant"
"","",""
"","","Mexborough Power Station"
"","","Millmerran Power Station"
"","","Centrale thermique de Pembroke"
"","","Prince Township Wind Farm"
"","","Roosecote Power Station"
