"birth place","label","Geburtsort"
"http://dbpedia.org/resource/County_Tipperary","Aidan Fitzgerald","http://dbpedia.org/resource/Fethard_GAA"
"http://dbpedia.org/resource/County_Tipperary","Benny Hahessy","http://dbpedia.org/resource/County_Tipperary"
"http://dbpedia.org/resource/County_Tipperary","Benny Hickey","http://dbpedia.org/resource/Cahir_GAA"
"http://dbpedia.org/resource/County_Cork","Brendan O'Sullivan (Cork hurler)","http://dbpedia.org/resource/County_Cork"
"http://dbpedia.org/resource/Tipperary","Brian Lacey (Gaelic footballer)","http://dbpedia.org/resource/Tipperary_GAA"
"http://dbpedia.org/resource/County_Tipperary","Brian Mulvihill (Gaelic footballer)","http://dbpedia.org/resource/County_Tipperary"
"http://dbpedia.org/resource/County_Kerry","Bryan Murphy (hurler)","http://dbpedia.org/resource/Causeway_GAA"
"http://dbpedia.org/resource/County_Laois","Charles Dwyer","http://dbpedia.org/resource/County_Laois"
"http://dbpedia.org/resource/County_Tipperary","Colin O'Riordan","http://dbpedia.org/resource/County_Tipperary"
"http://dbpedia.org/resource/County_Tipperary","Colm O'Flaherty","http://dbpedia.org/resource/Cahir_GAA"
"http://dbpedia.org/resource/County_Tipperary","Damian O'Brien","http://dbpedia.org/resource/County_Tipperary"
"http://dbpedia.org/resource/County_Tipperary","Damien Byrne (Gaelic footballer)","http://dbpedia.org/resource/Fethard_GAA"
"http://dbpedia.org/resource/Kilmoyley","Daniel Collins (hurler)","http://dbpedia.org/resource/Kilmoyley_GAA"
"http://dbpedia.org/resource/County_Tipperary","David Butler (hurler)","http://dbpedia.org/resource/County_Tipperary"
"http://dbpedia.org/resource/Tipperary","David Walsh (Tipperary Gaelic footballer)","http://dbpedia.org/resource/Tipperary_GAA"
"http://dbpedia.org/resource/Kilkenny","Diarmuid Cody","http://dbpedia.org/resource/Kilkenny"
"http://dbpedia.org/resource/Kilmoyley","Dougie Fitzell","http://dbpedia.org/resource/Kilmoyley_GAA"
"http://dbpedia.org/resource/Lismore,_County_Waterford","Eddie Daly","http://dbpedia.org/resource/Lismore_GAA"
"http://dbpedia.org/resource/County_Tipperary","Evan Comerford","http://dbpedia.org/resource/County_Tipperary"
"http://dbpedia.org/resource/County_Tipperary","Frank Howlin","http://dbpedia.org/resource/Cahir_GAA"
