"Wikipage page ID","Wikipage revision ID","label","Link from a Wikipage to an external page"
"30894628","663012035","ExtraTrain","http://www.era7.com/ExtraTrain/"
"","","Interferome",""
"30423702","619546412","OriDB","http://cerevisiae.oridb.org"
"30353393","637929096","Biomolecule stretching database","http://www.ifpan.edu.pl/BSDB/"
"","","ParameciumDB",""
"30371021","637930855","GISSD","http://www.rna.whu.edu.cn/gissd/"
"","","قاعدة بيانات توجهات البروتينات في الأغشية",""
"","","Plasmapper",""
"45133899","678963025","MetaboLights","http://www.metabolomicsworkbench.org/"
"41113716","671696876","Protein Structure Evaluation Suite & Server","http://www.ebi.ac.uk/thornton-srv/software/PROCHECK/"
"31113949","655173867","RegulonDB","http://regulondb.ccg.unam.mx/menu/using_regulondb/tutorials/project_glossary/index.jsp"
"30351511","672007991","Allele frequency net database","http://www.allelefrequencies.net"
"31367643","637934580","Orthologous MAtrix","http://omabrowser.org/All/download.html"
"28646010","676509309","COSMIC (base de datos)",""
"19484382","677817483","Community Cyberinfrastructure for Advanced Microbial Ecology Research and Analysis","http://www.camera.calit2.net/"
"","","Eukaryotic Linear Motif resource",""
"42402409","640391108","Experimental Factor Ontology","http://www.ebi.ac.uk/efo"
"","","Islander (database)",""
"","","Mouse Genome Database",""
"31522508","637931658","IGRhCellID","http://igrcid.ibms.sinica.edu.tw"
