"http://dbpedia.org/resource/Sinn_Féin","sinn f&eacute;in (sf)","2"
"http://dbpedia.org/resource/Alliance_Party_of_Northern_Ireland","alliance party of northern ireland (apni)","5"
"http://dbpedia.org/resource/Workers'_Party_of_Ireland","workers' party (wp)","12"
"http://dbpedia.org/resource/United_Unionist_Coalition","united unionist coalition (uuc)","8"
"http://dbpedia.org/resource/Green_Party_(Ireland)","green party","6"
"http://dbpedia.org/resource/UK_Unionist_Party","united kingdom unionist party (ukup)","15"
"http://dbpedia.org/resource/Progressive_Unionist_Party","progressive unionist party (pup)","7"
"http://dbpedia.org/resource/Democratic_Unionist_Party","democratic unionist party (dup)","1"
"http://dbpedia.org/resource/Ulster_Unionist_Party","ulster unionist party (uup)","3"
"http://dbpedia.org/resource/Northern_Ireland_Women's_Coalition","northern ireland women's coalition (niwc)","14"
"http://dbpedia.org/resource/Socialist_Party_(Ireland)","socialist party","13"
"http://dbpedia.org/resource/Newtownabbey_Ratepayers'_Association","newtownabbey ratepayers association","9"
"http://dbpedia.org/resource/Social_Democratic_and_Labour_Party","social democratic and labour party (sdlp)","4"
"http://dbpedia.org/resource/Socialist_Environmental_Alliance","socialist environmental alliance (sea)","10"
