"Tour Master Men's Jackets Rain Suits Sizing ChartChest: Measure the widest part of your chest under your armpits and around. Be sure arms are in resting position on your sides.","Tour Master Men's Jackets Rain Suits Sizing ChartChest: Measure the widest part of your chest under your armpits and around. Be sure arms are in resting position on your sides.","Tour Master Men's Jackets Rain Suits Sizing ChartChest: Measure the widest part of your chest under your armpits and around. Be sure arms are in resting position on your sides."
"Sizes","Chest (inch)","Sleeve (inch)"
"2X-Small","47","31"
"X-Small","47","31.5"
"Small","49","32"
"Medium","50.5","33"
"Large","52","34"
"X-Large","53.5","34.5"
"2X-Large","55","35"
"3X-Large","56.5","36"
"4X-Large","58","36"
