"birth place","label","Geburtsort"
"http://dbpedia.org/resource/Geneva","Guillaume Barazzone","http://dbpedia.org/resource/Geneva"
"http://dbpedia.org/resource/Lahti","Hanna Mäntylä","http://dbpedia.org/resource/Lahti"
"","Herma Hill Kay",""
"http://dbpedia.org/resource/Hungary","István Simicskó","http://dbpedia.org/resource/Hungary"
"http://dbpedia.org/resource/Quebec","Michel Doyon","http://dbpedia.org/resource/Quebec"
"http://dbpedia.org/resource/Campinas","Jair Bolsonaro","http://dbpedia.org/resource/Campinas"
"http://dbpedia.org/resource/Pennsylvania","Jan H. Gardner","http://dbpedia.org/resource/Pennsylvania"
"http://dbpedia.org/resource/Mladá_Boleslav","Jan Hamáček","http://dbpedia.org/resource/Mladá_Boleslav"
"http://dbpedia.org/resource/Michigan","Janeé Ayers","http://dbpedia.org/resource/Michigan"
"http://dbpedia.org/resource/United_States","Jessica Fitzwater","http://dbpedia.org/resource/United_States"
"","Joe Magliocca",""
"Place of birth missing","John Cyrier",""
"http://dbpedia.org/resource/Ohio","John Douglas Simon","http://dbpedia.org/resource/Ohio"
"","Jolly Stanesby",""
