"Date","Result","Game"
"Sep 08","L","Kettle Falls def. Selkirk"
"Sep 17","W","Selkirk def. Northport"
"Sep 20","W","Selkirk def. Cusick"
"Sep 22","W","Selkirk def. Inchelium"
"Sep 27","W","Selkirk def. Wellpinit"
"Oct 01","W","Selkirk def. Republic"
"Oct 01","W","Selkirk def. Curlew"
"Oct 06","L","Columbia def. Selkirk"
"Oct 11","W","Selkirk def. Northport"
"Oct 15","W","Selkirk def. Inchelium"
"Oct 18","W","Selkirk def. Wellpinit"
"Oct 22","W","Selkirk def. Republic"
"Oct 22","W","Selkirk def. Curlew"
"Oct 25","L","Cusick def. Selkirk"
"Oct 29","L","Columbia def. Selkirk"
"Nov 03","L","Wilbur-Creston def. Selkirk"
"Nov 05","L","Odessa-Harrington def. Selkirk"
