"Country","Phone","Submit Email Case","Language(s)","Business Hours"
"Australia","1.800.14.7201","Submit Email CaseChat","English","10:00 A.M. to 1:00 P.M.2:30 P.M. to 7:30 P.M. Monday - Friday Australia Standard Time (GMT +10)"
"China","4008 878790","Submit Email CaseChat","English Mandarin Cantonese","8:00 A.M. to 11:00 A.M. 12:30 P.M. to 5:30 P.M. Monday - Friday China Standard Time (GMT +8)"
"Hong Kong","800.90.0474","Submit Email CaseChat","English Mandarin Cantonese","8:00 A.M. to 11:00 A.M.12:30 P.M. to 5:30 P.M. Monday - Friday Hong Kong Standard Time(GMT +8)"
"India","{000.800.440.1392|&#160;}","Submit Email CaseChat","English","5:30 A.M. to 8:30 A.M.10:00 A.M. to 3:00 P.M. Monday - Friday India Standard Time (GMT +5.5)"
"Indonesia","001.803.657.090","Submit Email CaseChat","English","7:00 A.M. to 10:00 A.M.11:30 A.M. to 4:30 P.M. Monday - Friday Indonesia Standard Time (GMT+7)"
"Japan","0120.993280","Submit Email CaseChat","Japanese","9:00 A.M. to 12:00 P.M.1:30 P.M. to 6:30 P.M. Monday - Friday Japan Standard Time (GMT +9)"
"S. Korea","007.98.441.2491","Submit Email CaseChat","English Korean","9:00 A.M. to 12:00 P.M.1:30 P.M. to 6:30 P.M. Monday - Friday South Korea Standard Time (GMT+9)"
"Malaysia","1.800.80.2335","Submit Email CaseChat","English Mandarin Cantonese","8:00 A.M. to 11:00 A.M.12:30 P.M. to 5:30 P.M. Monday - Friday Malaysia Standard Time (GMT +8)"
"New Zealand","0.800.443988","Submit Email CaseChat","English","1:00 P.M. to 4:00 P.M.5:30 P.M. to 10:30 P.M. Monday - Friday New Zealand Standard Time (GMT +12)"
"Phillippines","1.800.14410356","Submit Email CaseChat","English","8:00 A.M. to 11:00 A.M.12:30 P.M. to 5:30 P.M. Monday - Friday Philippine Standard Time (GMT +8)"
"Singapore","800.110.1150","Submit Email CaseChat","English Mandarin Cantonese","8:00 A.M. to 11:00 A.M.12:30 P.M. to 5:30 P.M. Monday - Friday Singapore Standard Time (GMT +8)"
"{Taiwan|&#160;}","800666910/ 0026564852612","Submit Email CaseChat","English Mandarin Cantonese","8:00 A.M. to 11:00 A.M.12:30 P.M. to 5:30 P.M. Monday - Friday Taiwan Standard Time (GMT +8)"
"Thailand","001.800.11.0032165","Submit Email CaseChat","English","7:00 A.M. to 10:00 A.M.11:30 A.M. to 4:30 P.M. Monday - Friday Thailand Standard Time (GMT +7)"
"Vietnam","Access Code: 1-201-0288+888-268-3308","Submit Email CaseChat","English","7:00 A.M. to 10:00 A.M.11:30 A.M. to 4:30 P.M. Monday - Friday Vietnam Standard Time (GMT +7)"
